place_id,Name,detail,Category,province,district,subdistrict,address,postalcode, ticketPrice ThaiChild, ticketPrice ThaiAdult,Target Group,transportation,facility,telephone,eMail,Website,businessHour
1,อุทยานแห่งชาติภูเวียง,"อุทยานแห่งชาติภูเวียงนักท่องเที่ยวก็ต้องนึกถึงไดโนเสาร์ ไม่เคยมีใครคาดคิดมาก่อนว่าบริเวณที่ราบสูงที่อยู่ในเขตประเทศไทยปัจจุบันนั้นจะเคยเป็นบ้านของไดโนเสาร์มาก่อนจนกระทั่งเมื่อปี พ.ศ. 2519 มีการสำรวจแหล่งแร่ยูเรเนียมในบริเวณอุทยานแห่งชาติภูเวียง ระหว่างการสำรวจนักธรณีวิทยาได้ค้นพบซากกระดูกชิ้นหนึ่งเข้า และเมื่อส่งไปให้ผู้เชี่ยวชาญชาวฝรั่งเศสวิจัยผลปรากฏออกมาว่าเป็นกระดูกหัวเข่าข้างซ้ายของไดโนเสาร์ จากนั้นนักสำรวจก็ได้ทำการขุดค้นกันอย่างจริงจังเรื่อยมากระทั่งปัจจุบัน อุทยานแห่งชาติภูเวียงครอบคลุมพื้นที่ 380 ตารางกิโลเมตร ในเขตอำเภอเวียงเก่า อำเภอภูเวียง อำเภอสีชมพู และอำเภอชุมแพ ประกอบด้วยสิ่งที่น่าสนใจ ได้แก่ บนยอดภูประตูตีหมา หลุมขุดค้นที่ 1 ได้พบฟอสซิลไดโนเสาร์พันธุ์หนึ่งมีลำตัวสูงใหญ่ประมาณ 15 เมตร คอยาว หางยาว เป็นพันธุ์กินพืชซึ่งไม่เคยพบที่ใดมาก่อน จึงได้อัญเชิญพระนามของสมเด็จพระเทพฯ มาตั้งชื่อ ไดโนเสาร์ พันธุ์นี้เพื่อเป็นการเฉลิมพระเกียรติว่า ""ภูเวียงโกซอรัส สิรินธรเน่"" (Phuwianggosauras Sirindhornae) และในบริเวณหลุมขุดค้นเดียวกันนั้นเอง นักสำรวจได้พบฟันของไดโนเสาร์ประเภทกินเนื้อปะปนอยู่มากกว่า 10 ซี่ ทำให้สันนิษฐานได้ว่าโซโรพอดตัวนี้อาจเป็นอาหารของเจ้าของฟันเหล่านี้แต่ในกลุ่มฟันเหล่านี้มีอยู่หนึ่งซี่ที่มีลักษณะแตกต่างกันออกไป เมื่อนำไปศึกษาปรากฎว่าฟันชิ้นนี้เป็นลักษณะฟันไดโนเสาร์พันธุ์ใหม่ที่ไม่เคยค้นพบมาก่อนเช่นกัน จึงตั้งชื่อเป็นเกียรติแก่ผู้ค้นพบ นายวราวุธ สุธีธร ว่า ""ไซแอมโมซอรัส สุธีธรนี่"" (Siamosaurus Suteethorni) ผู้สนใจสามารถเดินไปชมได้ หลุมขุดค้นที่ 1 นั้นอยู่ไม่ไกลจากที่ทำการอุทยานและยังสามารถเดินไปชมหลุมขุดค้นที่ 2 และที่ 3 ซึ่งอยู่บริเวณใกล้เคียงด้วย ฟอสซิล ""ไซแอมโมไทรันนัส อีสานเอ็นซิส"" (Siamotyrannus Isanensis) เป็นสิ่งที่ชี้ว่าไดโนเสาร์จำพวกไทรันโนซอร์มีต้นกำเนิดในทวีปเอเชียเพราะฟอสซิลที่พบที่นี่เป็นชิ้นที่เก่าแก่ที่สุด(120 130 ล้านปี) แต่กระดูกชิ้นนี้ได้นำไปจัดแสดงไว้ที่พิพิธภัณฑ์ในกรมทรัพยากรธรณี กรุงเทพฯ บริเวณหินลาดป่าชาด หลุมขุดค้นที่ 8 พบรอยเท้าไดโนเสาร์จำนวน 68 รอยอายุประมาณ 140 ล้านปี เกือบทั้งหมดเป็นรอยเท้าไดโนเสาร์กินเนื้อพันธุ์เล็กที่สุดในโลกเดิน 2 เท้า แต่หนึ่งในรอยเท้าหล่านั้น มีขนาดใหญ่ผิดจากรอยอื่น คาดว่าเป็นของคาร์โนซอรัส การไปชมควรเดินทางด้วยรถขับเคลื่อน 4 ล้อ ใช้เวลาประมาณ 1 ชั่วโมง ห่างจากที่ทำการ 19 กิโลเมตร ส่วนฟอสซิลดึกดำบรรพ์อื่นๆ ที่ขุดพบ เช่น ซากลูกไดโนเสาร์ ซากจระเข้ขนาดเล็ก ซากหอย 150 ล้านปี จะอยู่กระจัดกระจายกันอยู่ตามหลุมต่างๆ ความน่าสนใจของที่นี่ไม่ได้มีเพียงแต่ไดโนเสาร์เท่านั้นยังมีการพบร่องรอยอารยธรรมโบราณด้วย โดยพบ ""พระพุทธรูปปางไสยาสน์"" ประติมากรรมนูนสูงสลักบนหน้าผาของยอดเขาภูเวียง สร้างขึ้นตั้งแต่สมัยพุทธศตวรรษที่ 14 ลักษณะท่านอนได้รับอิทธิพลจากอินเดีย พระเศียรหนุนแนบกับต้นแขนขวาแขนซ้ายทอดไปตามลำพระองค์ นอกจากนี้""ถ้ำฝ่ามือแดง"" ที่บ้านหินร่องมีงานศิลปะของมนุษย์ถ้ำโบราณ ลักษณะของภาพเกิดจากการพ่นสีแดงลงไปในขณะที่มือทาบกับผนังถ้ำก่อให้เกิดเป้นรูปฝ่ามือขึ้น ส่วนแหล่งท่องเที่ยวทางธรรมชาติ ในบริเวณอุทยานฯจะมีน้ำตกอยู่สองสามแห่ง ""น้ำตกทับพญาเสือ"" เป็นน้ำตกเล็กๆตั้งอยู่ใกล้กับถ้ำฝ่ามือแดง ""น้ำตกตาดฟ้า"" เป้นน้ำตกขนาดใหญ่ สูงประมาณ 15 เมตร สามารถเข้าถึงได้ทางรถยนต์อยู่ห่างจากอำเภอภูเวียง 18 กิโลเมตร และขึ้นเขาไปอีก 6 กิโลเมตร ตรงต่อไปจากน้ำตกตาดฟ้าอีก 5 กิโลเมตร จะถึง""น้ำตกตาดกลาง"" นอกจากน้ำตกก็ยังมีแหล่งท่องเที่ยวประเภอทุ่งหญ้าและลานหิน ซึ่งจะมีดอกไม้ป่านานาพันธุ์บานในช่วงหลังฤดูฝนได้แก่""ทุ่งใหญ่เสาอาราม"" ""หินลาดวัวถ้ำกวาง"" และ""หินลาดอ่างกบ""",ธรรมชาติ,ขอนแก่น,ภูเวียง,ในเมือง,หินร่อง,40150,20,40,กลุ่มครอบครัว/,รถยนต์/เดินเท้า/มอเตอร์ไซค์/จักรยาน/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,0 4343 8333,pnuwiangop71@hotmail.com,park.dnp.go.th/visitor/nationparkshow.php?PTA_CODE=1072,ทุกวัน 08.30-16.30 น.
2,อุทยานแห่งชาติภูผาม่าน,"รูปลักษณ์ภายนอกของอุทยานแห่งนี้คือเทือกเขาหินปูนที่มีหน้าผาตัดตรงดิ่งลงมาเป็นริ้ว ๆ คล้ายผ้าม่าน สภาพป่าของที่นี่ยังอุดมสมบูรณ์ด้วยป่าดิบ และป่าไม้เบญจพรรณ สภาพอากาศจะเย็นชื้นเกือบตลอดปี อุทยานแห่งนี้มีพื้นที่ทั้งหมด ๒๑๘, ๗๕๐ ไร่ ครอบคลุมอาณาบริเวณในอำเภอภูผาม่าน และอำเภอชุมแพ จังหวัดขอนแก่น และอำเภอภูกระดึง จังหวัดเลย",ธรรมชาติ,ขอนแก่น,ชุมแพ,นาหนองทุ่ม,201 หมู่ที่ 11,40290,10,20,กลุ่มครอบครัว/,รถยนต์/,ป้ายชี้ทางเข้าถึง/,"0 4335 8075, 0 4321 0163, 08 1324 9050",phu_phaman@hotmail.com,https://m.facebook.com/phuphaman72,06.00-18.00 น.
3,อุทยานแห่งชาติน้ำพอง,มีพื้นที่ทั้งสิ้น 197 ตารางกิโลเมตร ครอบคลุมพื้นที่หลายอำเภอในจังหวัดขอนแก่น ได้แก่ อุบลรัตน์ ภูเวียง บ้านฝาง มัญจาคีรี และโคกโพธิ์ชัย และสองอำเภอในจังหวัดชัยภูมิ ได้แก่ บ้านแท่น และ แก่งคร้อ ที่ทำการอุทยานตั้งอยู่บริเวณอ่างเก็บน้ำอุบลรัตน์ เป็นทั้งแหล่งต้นน้ำของลำน้ำชี ลำน้ำพอง และแหล่งสมุนไพร พื้นที่ส่วนใหญ่เป็นภูเขา ป่าเต็งรัง ป่าดิบแล้ง  ในบริเวณอุทยานมีจุดชมวิวอยู่หลายแห่ง ได้แก่ จุดชมวิวหินช้างสี เป็นกลุ่มหินใหญ่บนสันเขาป่าโสกแต้ ด้านข้างของหินมีรอยดินที่ช้างใช้ลำตัวสีก้อนหินติดอยู่ ใช้เวลาเดินเท้าจากที่ทำการประมาณ 2 ชั่วโมง หรือโดยรถยนต์จากสวนป่าโสกแต้ 8 กิโลเมตร จากจุดนี้จะมองเห็นทัศนียภาพของอ่างเก็บน้ำอุบลรัตน์ และเมืองขอนแก่น เดินเท้าจากจุดนี้ไป 30 นาทีจะเป็น จุดชมวิวพลาญชาด เป็นลานหินที่มีต้นชาดขึ้นอยู่ ถัดไปคือ ผาสวรรค์ เป็นหน้าผาบนเทือกเขาป่าโสกแต้อยู่บริเวณบ้านโนนสวรรค์ อำเภออุบลรัตน์ เป็นจุดชมทัศนียภาพของอ่างเก็บน้ำที่งดงามอีกจุดหนึ่ง ใช้เวลาเดินเท้าจากที่ทำการประมาณ 2 ชั่วโมง สถานที่น่าสนใจอีกแห่งหนึ่งก็คือ คำโพน เป็นบ่อหินกลมคล้ายปล่องภูเขาไฟเกิดจากสภาพทางธรณีวิทยา ,ธรรมชาติ,ขอนแก่น,หนองเรือ,บ้านผือ,ตู้ ปณ.13 บ้านดอนโมง,40240,10,20,กลุ่มครอบครัว/,รถยนต์/,ป้ายชี้ทางเข้าถึง/,"0 4335 8074, 08 1662 1922",nam phong_np@dnp.go.th,https://m.facebook.com/namphong.np,08.30-16.30 น.
4,ชุมชนบ้านเซินเหนือภูผาม่าน,อำเภอภูผาม่าน เป็นชุมชนที่มีเสน่ห์ ด้วยความเรียบง่าย ภูมิประเทศงดงาม และมีชาวชุมชนดั้งเดิมที่เรียกว่า ชาว “ไทภู” ซึ่งมีวัฒนธรรมที่มีเอกลักษณ์เฉพาะตัว ทำให้ “ภูผ่าม่าน” เหมาะสำหรับคนที่สนใจเดินทางไปสัมผัสประสบการณ์ใหม่ๆ สไตล์ท่องเที่ยวชุมชน สำหรับแหล่งท่องเที่ยวที่น่าสนใจในพื้นที่ของอำเภอภูผาม่าน ได้แก่ แหล่งท่องเที่ยวทางธรรมชาติ ส่วนใหญ่อยู่ในพื้นที่ของอุทยานแห่งชาติภูผาม่าน ซึ่งมีพื้นที่ทั้งหมดกว่า 2 แสนไร่ รูปลักษณ์ภายนอกของอุทยานแห่งชาตินี้คือ เทือกเขาหินปูนที่มีหน้าผาตัดตรงดิ่งลงมาเป็นริ้วๆ คล้ายผ้าม่าน อันเป็นที่มาของชื่อ “ภูผาม่าน” นั่นเอง สภาพป่ายังอุดมสมบูรณ์ด้วยป่าดิบและป่าไม้เบญจพรรณ อากาศเย็นตลอดทั้งปี,วัฒนธรรม,ขอนแก่น,ภูผาม่าน,โนนคอม,หมู่ 2,40530,0,0,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/,รถยนต์/เดินเท้า/มอเตอร์ไซค์/จักรยาน/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,09 3320 0811,ไม่ทราบ,www.facebook.com/Ban-Choennuea-ชุมชนท่องเที่ยวบ้านเซินเหนือ-100713818029222,ทุกวัน 8.00-17.00 น.
5,โฮงมูนมังเมืองขอนแก่น,โฮง คือหอเก็บสมบัติ โฮงมูนเมืองขอนแก่น คือ หอเก็บสมบัติที่เก็บรวบรวมเรื่องราวอันเป็นที่มาของเมืองขอนแก่น ตั้งอยู่บริเวณบึงแก่นนคร อ.เมือง เป็นพิพิธภัณฑ์ที่สะท้อนให้เห็นถึงสภาพชีวิตและเป็นศูนย์กลางการศึกษาค้นคว้าข้อมูลประวัติศาสตร์เมืองขอนแก่น โดยแบ่งออกเป็น 5 โซน คือ โซนที่ 1 แนะนำเมืองขอนแก่น โซนที่ 2 ประวัติศาสตร์เมืองขอนแก่นและวัฒนธรรมชาวขอนแก่น โซนที่ 3 การตั้งเมือง โซนที่ 4 บ้านเมืองและวิถีชีวิตของชาวขอนแก่น โซนที่ 5 ขอนแก่นวันนี้,วัฒนธรรม,ขอนแก่น,เมืองขอนแก่น,ในเมือง,ถนนรอบบึง,40000,10,20,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/ทุกช่วงวัย,รถยนต์/เดินเท้า/มอเตอร์ไซค์/จักรยาน/,ป้ายชี้ทางเข้าถึง/,0 4327 1173,ไม่ทราบ,www.facebook.com/HoNgmuNmangMeungKhonkaen,เปิดบริการทุกวันอังคาร-วันอาทิตย์ เวลา 09.00-17.00 น.
6,พิพิธภัณฑสถานแห่งชาติขอนแก่น,ภายในจัดแสดงเกี่ยวกับประวัติไปรษณีย์และแสตมป์ดวงแรกของโลก ประเภทของแสตมป์ อุปกรณ์การสะสมแสตมป์ เช่น ปากคีบ แว่นขยาย มาตรวัดฟันแสตมป์ เม้าท์เก็บแสตมป์ เป็นต้น,วัฒนธรรม,ขอนแก่น,เมืองขอนแก่น,ในเมือง,193 ถนนหลังศูนย์ราชการ,40000,0,20,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/ทุกช่วงวัย,รถยนต์/รถโดยสารประจำทาง/เดินเท้า/มอเตอร์ไซค์/จักรยาน/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,0 4324 6170,kkmuseum24@gmail.com,www.facebook.com/khonkaenmuseum www.finearts.go.th/khonkaenmuseum/,เปิดบริการทุกวันพุธ-วันอาทิตย์ เวลา 09.00-16.00 น.
7,พระมหาธาตุแก่นนคร,พระมหาธาตุแก่นนครหรือ พระธาตุเก้าชั้นฐานสี่เหลี่ยมกว้างด้านละ 50 เมตร เรือนยอดทรงเจดีย์จำลองแบบจากพระธาตุขามแก่น จัดสร้างขึ้น เนื่องในวโรกาสที่ พระบาทสมเด็จ พระปรมินทรมหาภูมิพลอดลยเดชทรงครองสิริราชสมบัติครบ 50 ปี และมหามังคลานุสรณ์ 200 ปี เมืองขอนแก่น ความสูงขององค์พระธาตุฯ 80 เมตร มีพระจุลธาตุ 4 องค์ ตั้งอยู่ 4 มุมและมีกำแพงแก้วพญานาค 7 เศียรล้อมรอบ เป็นศิลปะสมัยทวาราวดี ผสมผสานศิลปะอินโดจีน ซึ่งเป็นลักษณะแบบชาวอีสาน ตากแห,ประวัติศาสตร์,ขอนแก่น,เมืองขอนแก่น,ในเมือง,593 ถนนกลางเมือง,40000,0,0,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/ทุกช่วงวัย,รถยนต์/มอเตอร์ไซค์/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,0 4322 1664,Watnongwang9@gmail.com,https://www.facebook.com/profile.php?id=61554299169848,เปิดบริการทุกวัน
8,ศาลเจ้าพ่อเทพารักษ์หลักเมือง,สถานที่อันศักดิ์สิทธิ์และเป็นที่เคารพสักการะของชาวขอนแก่นแห่งนี้ประดิษฐานอยู่ที่ศาลาสุขใจ ถนนเทพารักษ์หน้าเทศบาลขอนแก่น ท่านเจ้าคุณปู่พระราชสารธรรมมุนี และหลวงธุรนัยพินิจ อดีตผู้ว่าราชการจังหวัดขอนแก่นได้ริเริ่มสร้างขึ้นโดยนำหลักศิลาจารึกจากโบราณสถานในท้องที่อำเภอชุมแพมาประกอบพิธีทางพุทธศาสนา และตั้งเป็นศาลหลักเมืองเมื่อวันที่ 20 สิงหาคม พ.ศ. 2499,ประวัติศาสตร์,ขอนแก่น,เมืองขอนแก่น,ในเมือง,ถนนศรีจันทร์,40000,0,0,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/ทุกช่วงวัย,รถยนต์/มอเตอร์ไซค์/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,0 4322 7523,ไม่ทราบ,ไม่ทราบ,เปิดบริการทุกวัน
9,กู่ประภาชัย,กู่จะอยู่ภายในวัดกู่บ้านนาคำน้อย หรือจะขับรถข้ามสะพานข้ามคลองส่งน้ำ ตรงไปตามถนนลาดยางประมาณ 6 กิโลเมตร ก็จะมีป้ายบอกทางให้เลี้ยวซ้ายผ่านหมู่บ้านไปประมาณ 1 กิโลเมตร ก็จะถึงกู่ประภาชัย กู่ประภาชัย คือกลุ่มโบราณสถานที่มีลักษณะแผนผังอย่างเดียวกันกับโบราณสถานที่พบหลักฐานแสดงอโรคยาศาลหรือสถานพยาบาลที่พระเจ้าชัยวรมันที่ 7 แห่งอาณาจักรเขมรโบราณโปรดฯให้สร้างขึ้นในพุทธศตวรรษที่ 18 (พ.ศ. 1720 1780) คือประกอบด้วยปรางค์ประธานรูปสี่เหลี่ยมจตุรัส มีมุขยื่นทางด้านหน้า ด้านขวามือเยื้องไปข้างหน้าเป็นอาคารรูปสี่เหลี่ยมที่เรียกว่า บรรณาลัย อาคารทั้งสองล้อมรอบด้วยกำแพงแก้วโดยมีโคปุระหรือซุ้มประตูทางเข้าออกด้านหน้าหรือทางด้านทิศตะวันออกเพียงด้านเดียว นอกกำแพงที่มุมซ้ายมีสระน้ำ 1 สระทั้งหมดสร้างด้วยศิลาแลง โดยมีเสาประดับประตู ทับหลังเป็นหินทราย ปัจจุบันหักพังแต่ได้รับการดูแลรักษาจากทางวัดเป็นอย่างดี ซึ่งได้ขึ้นทะเบียนเป็นโบราณสถานเมื่อวันที่ 8 มีนาคม พ.ศ.2478,ประวัติศาสตร์,ขอนแก่น,น้ำพอง,บัวใหญ่,หมู่ 1 บ้านนาคำน้อย,40140,0,0,กลุ่มครอบครัว/,รถยนต์/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,"08 3362 9844, 08 1546 7797",ไม่ทราบ,ไม่ทราบ,เปิดทุกวัน
10,ถนนฅนเดิน ขอนแก่น,ถนนคนเดินขอนแก่น เปิดทุกวันเสาร์ ซึ่งเค้าจะปิดถนนยาวเลยตั้งแต่หน้าสำนักงานอุตสาหกรรมจังหวัดขอนแก่นไปจนถึงหน้าสำนักงานที่ดินจังหวัดขอนแก่น ถนนคนเดินที่นี่เดินกันเมื่อยเลยทีเดียว ภายในตลาดมีทั้งอาหาร เครื่องดื่ม เสื้อผ้า ของใช้ ของตกแต่ง งานศิลปะ สินค้าแฮนด์เมด ผ้าทอ และอีกมากมาย รวมทั้งจัดโตีะนั่งทานอาหารไว้ให้ด้วย สามารถเดินไปซื้ออาหารแล้วมานั่งทานได้ มีโต๊ะนั่งอยู่มากพอสมควร,อาหาร ช้อปปิ้ง,ขอนแก่น,เมืองขอนแก่น,ในเมือง,ซอย หน้าศูนย์ราชกาล,40000,0,0,กลุ่มครอบครัว/กลุ่มวัยทำงาน/กลุ่มนักเรียนนักศึกษา/เยาวชน/วัยรุ่น/กลุ่มคู่รัก / คู่แต่งงาน/ทุกช่วงวัย,รถยนต์/รถโดยสารประจำทาง/เดินเท้า/มอเตอร์ไซค์/จักรยาน/,ลานจอดรถ/ลานจอดรถ/สุขา/ร้านอาหาร/ศูนย์บริการนักท่องเที่ยว/ร้านขายสินค้าที่ระลึก/มัคคุเทศก์ท้องถิ่น/ป้ายสื่อความหมาย/ป้ายชี้ทางเข้าถึง/ที่พักสัตว์เลี้ยง(สุนัข)/ที่พักสัตว์เลี้ยง(แมว)/ที่พักสัตว์เลี้ยง(อื่นๆ)/,0 4332 1152,ไม่ทราบ,ไม่ทราบ,เปิดบริการทุกวันเสาร์ เวลา 17.00-22.30 น. (ปิดตลาดช่วงเทศกาลงานไหมและประเพณีผูกเสี่ยว)
